close,y_pred,y_pred_best,y_pred_xgb,y_pred_svm,y_pred_crossover,y_pred_rsi,market_returns,position,position_best,position_xgb,position_svm,position_crossover,position_rsi,strategy_returns,strategy_best_returns,strategy_xgb_returns,strategy_svm_returns,strategy_crossover_returns,strategy_rsi_returns,cumulative_market,cumulative_strategy,cumulative_strategy_best,cumulative_strategy_xgb,cumulative_strategy_svm,cumulative_strategy_crossover,cumulative_strategy_rsi
113.81,0,0,0,0,1,0,0.04173913043478272,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04173913043478272,0.0,0.9929331704763571,1.0,1.0,1.0,1.0,0.9929331704763571,1.0
111.87,0,0,0,0,1,0,-0.017045953782620082,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.017045953782620082,-0.0,0.9760076775431867,1.0,1.0,1.0,1.0,0.9760076775431867,1.0
123.87,0,0,0,0,0,0,0.10726736390453206,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.10726736390453206,0.0,1.0807014482638289,1.0,1.0,1.0,1.0,1.0807014482638289,1.0
126.87,0,0,0,0,0,0,0.024218939210462587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1068748909439894,1.0,1.0,1.0,1.0,1.0807014482638289,1.0
121.12,0,0,0,0,0,0,-0.04532198313234015,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0567091258070151,1.0,1.0,1.0,1.0,1.0807014482638289,1.0
118.87,0,0,0,0,0,0,-0.01857661822985468,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0370790437968946,1.0,1.0,1.0,1.0,1.0807014482638289,1.0
120.5,0,0,0,0,0,0,0.013712458988811349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0512999476531153,1.0,1.0,1.0,1.0,1.0807014482638289,1.0
128.31,0,0,0,0,0,0,0.06481327800829884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1194381434304668,1.0,1.0,1.0,1.0,1.0807014482638289,1.0
121.31,0,0,0,0,0,0,-0.05455537370430985,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0583667771767589,1.0,1.0,1.0,1.0,1.0807014482638289,1.0
126.75,0,0,0,0,0,0,0.04484378864067273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1058279532367834,1.0,1.0,1.0,1.0,1.0807014482638289,1.0
